label	question	sentence
1	If you were to take a train west or south out of the city of Fresno, which railroad would you take?	The city of Fresno is planned to serve the future California High Speed Rail.
0	Newborns are vulnerable to infection because they have no previous exposure to what?	Newborn infants have no prior exposure to microbes and are particularly vulnerable to infection.
0	What does  mnemiopsis eat?	One ctenophore, Mnemiopsis, has accidentally been introduced into the Black Sea, where it is blamed for causing fish stocks to collapse by eating both fish larvae and organisms that would otherwise have fed the fish.
0	Scholars stated that there was already an existing settlement between 2 parties prior to which date?	In the United States, scholars argue that there already existed a negotiated settlement based on equality between both parties prior to 1973.
1	What had been left hanging on the door to Tesla's room?	and 81st St. A long-time friend and supporter of Tesla, Hugo Gernsback, commissioned a sculptor to create a death mask, now displayed in the Nikola Tesla Museum.
0	How many times prios has the Sun Life Stadium had Super Bowls?	The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010.
0	What type of interpretation of Islam does Salafism promote?	The interpretation of Islam promoted by this funding was the strict, conservative Saudi-based Wahhabism or Salafism.
0	When did Luther travel to Mansfeld twice?	Luther journeyed to Mansfeld twice in late 1545 to participate in the negotiations for a settlement, and a third visit was needed in early 1546 for their completion.
0	What does FOTA stand for?	Since 1963, the Festival of the Arts (FOTA) takes over campus for 7–10 days of exhibitions and interactive artistic endeavors.
1	What size are adult Ctenophora?	Their most distinctive feature is the ‘combs’ – groups of cilia which they use for swimming – they are the largest animals that swim by means of cilia.
0	Where do most teachers get their credentials from?	In many countries, a person who wishes to become a teacher must first obtain specified professional qualifications or credentials from a university or college.
0	When did he talk about his beliefs in an interview?	In a 1937 interview, he stated:
1	Where was Genghis Khan buried?	Before Genghis Khan died, he assigned Ögedei Khan as his successor and split his empire into khanates among his sons and grandsons.
0	What was the name of the fund setup to help with investing in the community?	The committee created the 50 fund as its philanthropic initiative and focuses on providing grants to aid with youth development, community investment and sustainable environments.
0	How old was Manning when he played Super Bowl 50?	He is also the oldest quarterback ever to play in a Super Bowl at age 39.
0	What is another name for State Route 168?	State Route 168, the Sierra Freeway, heads east to the city of Clovis and Huntington Lake.
1	What is the House of Tides?	Stairs from the riverside to higher parts of the city centre and the extant Castle Keep, originally recorded in the 14th century, remain intact in places.
1	What is malum in se considerations?	Other legal requirements come from malum prohibitum considerations, or things that are a matter of custom or expectation, such as isolating businesses to a business district and residences to a residential district.
1	How long will the event at Santa Clara Convention Center last?	A professional fundraiser will aid in finding business sponsors and individual donors, but still may need the city council to help fund the event.
1	What was Temüjin' sister's name?	His father arranged a marriage for him, and at nine years of age he was delivered by his father to the family of his future wife Börte, who was a member of the tribe Khongirad.
0	How many homes had BSkyB's direct-to-home satellite service available to them in 2010?	BSkyB's direct-to-home satellite service became available in 10 million homes in 2010, Europe's first pay-TV platform in to achieve that milestone.
1	Who did Gegeen appoint as grand chancellor?	They placed Yesün Temür (or Taidingdi) on the throne, and, after an unsuccessful attempt to calm the princes, he also succumbed to regicide.
0	What station aired the Super Bowl?	CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game.
0	What was the principle shown in The Mark of Anarchy?	It is perhaps the first modern[vague] statement of the principle of nonviolent protest.
1	When was the opening of "Super Bowl City"?	San Francisco mayor Ed Lee said of the highly visible homeless presence in this area "they are going to have to leave".
0	When did England formally declare war on France?	During that time in Europe, on May 18, 1756, England formally declared war on France, which expanded the war into Europe, which was later to be known as the Seven Years' War.
0	What is the Mongolian name for the original place of the Genghis Khan mausoleum?	In 1939 Chinese Nationalist soldiers took the mausoleum from its position at the 'Lord's Enclosure' (Mongolian: Edsen Khoroo) in Mongolia to protect it from Japanese troops.
0	What title did Newcastle native Basil Hume achieve?	Basil Hume, Archbishop of Westminster, was born in the city in 1923.
0	When was the Last Glacial Maximum?	22,000–14,000 yr BP, when ice-sheets covered Scandinavia, the Baltics, Scotland and the Alps, but left the space between as open tundra.
1	What yard line was a gold color for all teams during the season?	Gold footballs were given to each high school that has had a player or coach appear in the Super Bowl, and "homecoming" events were also held by Super Bowl-winning teams at games.
1	From 2004 to 2005 Harvard reduced the number of students earning Latin honors from 90% to what?	Moreover, the honors of "John Harvard Scholar" and "Harvard College Scholar" will now be given only to the top 5 percent and the next 5 percent of each class.
0	What are other alternative names for French and Indian War?	Other, less frequently used names for the war include the Fourth Intercolonial War and the Great War for the Empire.
1	What is the clarity of liquid oxygen?	Liquid oxygen may also be produced by condensation out of air, using liquid nitrogen as a coolant.
1	What does the Scotland Act of 2012 extend?	However, under the terms of the Scotland Act, Westminster agreed to devolve some of its responsibilities over Scottish domestic policy to the Scottish Parliament.
0	What began in 1527 when Luther introdued the new order of worship?	Luther and his colleagues introduced the new order of worship during their visitation of the Electorate of Saxony, which began in 1527.
1	What is the main denomination of Christians in Kenya?	The only Jewish synagogue in the country is located in the capital, Nairobi.
1	Which Doctors were featured in The Four Doctors?	Additionally, multiple Doctors have returned in new adventures together in audio dramas based on the series.
1	What do extremely unequal societies tend to be?	Perotti concluded that, "more equal societies have lower fertility rates and higher rates of investment in education.
1	How do private schools in Ireland differ from most?	Many private schools in Ireland also double as boarding schools.
0	Where is the highest point of the Rhine basin?	The Aare also contains the waters from the 4,274 m (14,022 ft) summit of Finsteraarhorn, the highest point of the Rhine basin.
1	In what year did Priestley publish the findings of his experiments?	Because he published his findings first, Priestley is usually given priority in the discovery.
1	What principle highlights the significance of primes in number theory	In particular, this norm gets smaller when a number is multiplied by p, in sharp contrast to the usual absolute value (also referred to as the infinite prime).
0	Who ended up replacing Joseph Francis Shea as ASPO Manager?	Manager Joseph Francis Shea, replacing him with George Low.
1	How much Victorian farmland is farmed in grains?	Victorian farms produce nearly 90% of Australian pears and third of apples.
1	How did Luther view Islam?	He went on to produce several critical pamphlets on Islam, which he called "Mohammedanism" or "the Turk".
0	What was the Yuan dynasty called in Mongolian?	The counterpart in Mongolian language was Dai Ön Ulus, also rendered as Ikh Yuan Üls or Yekhe Yuan Ulus.
1	What role in economics did the university play a major part in?	The university's sociology department was the first independent sociology department in the United States and gave birth to the Chicago school of sociology.
0	When was the St. Bartholomew's Day Massacre?	In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October 1572, Catholics killed thousands of Huguenots in Paris.
1	Who originally hosted the syndicated version of Who Wants to Be a Millionaire?	In August 1999, ABC premiered a special series event, Who Wants to Be a Millionaire, a game show based on the British program of the same title.
0	When did the university decide to start multimillion-dollar expansion projects?	From the mid-2000s, the university began a number of multimillion-dollar expansion projects.
1	How wide is the Rhine in Germany?	Here the Rhine flows through the largest conurbation in Germany, the Rhine-Ruhr region.
1	What publication did Philip Howard work for?	Doctor Who was the most violent of the drama programmes the corporation produced at the time.
0	What is the name of the largest university press in the U.S?	The university is also home to the University of Chicago Press, the largest university press in the United States.
1	Who did the peasants think Luther would support an attack on?	Preachers such as Zwickau prophet Nicholas Storch and Thomas Müntzer helped instigate the German Peasants' War of 1524–25, during which many atrocities were committed, often in Luther's name.
1	When was Temüjin's half-brother Begter killed?	(not Begter's mother) would have to accept him as her husband if and when he became an adult.
0	Who won the Ekstraklasa Championship in 2000?	Their local rivals, Polonia Warsaw, have significantly fewer supporters, yet they managed to win Ekstraklasa Championship in 2000.
0	how long did Tesla spend redesigning the motor and generators?	After months of work, Tesla fulfilled the task and inquired about payment.
1	What year did the the case go before the supreme court?	For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, "Wise up or die."
1	How many NFL teams have had only one loss by the end of a regular season?	For the third straight season, the number one seeds from both conferences met in the Super Bowl.
1	The "50" given to the Super Bowl winner is plated with how many karats of gold?	Like the Lombardi Trophy, the "50" will be designed by Tiffany & Co.
1	What position did Luther have in Wittenberg?	He spent the rest of his career in this position at the University of Wittenberg.
0	In what year did ENR compile data in nine market segments?	In 2014, ENR compiled the data in nine market segments.
1	Besides the arguments with Rome and his own fellow reformers, what scandal  contributed to Luther's failing health?	Luther had been suffering from ill health for years, including Ménière's disease, vertigo, fainting, tinnitus, and a cataract in one eye.
0	Who designed the  Möllendorff Dinner Service?	Among the finest examples are the Meissen Vulture from 1731 and the Möllendorff Dinner Service, designed in 1762 by Frederick II the Great.
0	Where was the disease spreading between 1348 and 1350?	From Italy, the disease spread northwest across Europe, striking France, Spain, Portugal and England by June 1348, then turned and spread east through Germany and Scandinavia from 1348 to 1350.
1	What months out of the year is Woodward Park open?	It is also the home of the Woodward Shakespeare Festival which began performances in the park in 2005.
1	What religion were the Normans	They adopted the Gallo-Romance language of the Frankish land they settled, their dialect becoming known as Norman, Normaund or Norman French, an important literary language.
0	What was DATANET 1	Datanet 1 was the public switched data network operated by the Dutch PTT Telecom (now known as KPN).
1	What is the low end of the temperature range in summer?	But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.
1	What religion is the western region mostly?	The upper part of Kenya's Eastern Region is home to 10% of the country's Muslims, where they constitute the majority religious group.
0	Where did Luther explain his idea of justification?	He explained his concept of "justification" in the Smalcald Articles:
1	What city north of New York was settled by Huguenots?	A small group of Huguenots also settled on the south shore of Staten Island along the New York Harbor, for which the current neighborhood of Huguenot was named.
1	What was the source of the Rhine in the last Ice Age?	Such was the case during the Last Glacial Maximum, ca.
0	What did Luther do during Lent at this time?	For eight days in Lent, beginning on Invocavit Sunday, 9 March, Luther preached eight sermons, which became known as the "Invocavit Sermons".
0	What does turning sideways protect chloroplasts from?	This reduces exposure and protects them from photooxidative damage.
0	When was the agreement to acquire ABC approved by UPT's board?	On June 6, 1951, the tentative agreement was approved by UPT's board of directors.
0	What was the passer rating for Peyton Manning that he finished out with for the season?	Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions.
0	What year was the latest addition to the Church of St. Andrew?	The present building was begun in the 12th Century and the last addition to it, apart from the vestries, was the main porch in 1726.
0	Where is the aboral organ located?	The largest single sensory feature is the aboral organ (at the opposite end from the mouth).
1	What type of boundaries help to define the way kids behave?	Teachers are expected to respect their students; sarcasm and attempts to humiliate pupils are seen as falling outside of what constitutes reasonable discipline.[verification needed]
1	In what year did the serial format change for the Doctor Who series?	As in the early "classic" era, each episode, whether standalone or part of a larger story, has its own title.
1	Which church's saint is nicknamed The Martyr?	Newcastle has three cathedrals, the Anglican St. Nicholas, with its elegant lantern tower of 1474, the Roman Catholic St. Mary's designed by Augustus Welby Pugin and the Coptic Cathedral located in Fenham.
1	What Doctor Who actor won a Best Actor award in 2012?	Doctor Who has been nominated for over 200 awards and has won over a hundred of them.
1	What native chief travelled to French fort and threatened Marin?	Traveling to Fort Le Boeuf, he threatened the French with military action, which Marin contemptuously dismissed.
0	When was the Skylab launched?	Dubbed Skylab, it was constructed complete on the ground rather than in space, and launched in 1973 using the two lower stages of a Saturn V.
1	Which NFL team won Super Bowl 50?	Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.
1	What si the comparison to sea level with the oxygen level in space suits?	Breathing pure O_2 in space applications, such as in some modern space suits, or in early spacecraft such as Apollo, causes no damage due to the low total pressures used.
0	Why is Priestley usually given credit for being first to discover oxygen?	Because he published his findings first, Priestley is usually given priority in the discovery.
1	What governing body appoints commissioners and the board of European Central Bank?	It appoints the Commissioners and the board of the European Central Bank.
1	Of what form do Mersenne primes take?	They are called Mersenne primes in his honor.
1	What was the protest in Antigone about?	She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her if she does not do this.
1	How much was the Apollo project estimated to have cost from 1959 to 1973, the length of the program?	In 2009, NASA held a symposium on project costs which presented an estimate of the Apollo program costs in 2005 dollars as roughly $170 billion.
1	What is in Eldon Square?	The street curves down from Grey's Monument towards the valley of the River Tyne and was voted England's finest street in 2005 in a survey of BBC Radio 4 listeners.
1	How many atoms combine to form dioxygen?	It is a member of the chalcogen group on the periodic table and is a highly reactive nonmetal and oxidizing agent that readily forms compounds (notably oxides) with most elements.
1	When was the FIS founded?	The FIS won sweeping victories in local elections and it was going to win national elections in 1991 when voting was canceled by a military coup d'état.
1	What did Luther try to avoid in setting up his church?	He also did not wish to replace one controlling system with another.
1	Who confirmed Watt's discovery of latent heat?	Watt was also aware of the change in the boiling point of water with pressure.
1	What was the nationality of Jerónimo de Ayanz y Beaumont?	Thomas Newcomen's atmospheric engine was the first commercial true steam engine using a piston, and was used in 1712 for pumping in a mine.
0	Where does Warsaw rank in terms of population in the EU?	Its population is estimated at 1.740 million residents within a greater metropolitan area of 2.666 million residents, which makes Warsaw the 9th most-populous capital city in the European Union.
0	What group is Newcastle native Andy Taylor the former lead guitarist of?	Andy Taylor, former lead guitarist of Duran Duran was born here in 1961.
0	What was Kublai Khan's relation to Genghis Khan?	While Genghis Khan never conquered all of China, his grandson Kublai Khan completed that conquest and established the Yuan dynasty that is often credited with re-uniting China.
0	When was Temüjin elected khan of the Mongols?	In 1186, Temüjin was elected khan of the Mongols.
0	How might gravity effects be observed differently according to Newton?	Newton came to realize that the effects of gravity might be observed in different ways at larger distances.
1	Vaginal secretions serve as a chemical protective barrier following what?	Chemical barriers also protect against infection.
1	Along with Stephenson and Walschaerts, what is an example of a simple motion?	The combined setup gave a fair approximation of the ideal events, at the expense of increased friction and wear, and the mechanism tended to be complicated.
0	On an international level, which industry's competitive positions is affected?	On an international level, the price increases changed competitive positions in many industries, such as automobiles.
1	Who wrote The Mutants?	The first serial had been completed and the BBC believed it was crucial that the next one be a success, but The Mutants was the only script ready to go, so the show had little choice but to use it.
0	Around roughly how many students enroll yearly in creative and performing arts classes?	Several thousand major and non-major undergraduates enroll annually in creative and performing arts classes.
0	What was the program in the first Children's program block to be broadcast in HD?	I block Litton's Weekend Aventure
0	What do chloroplasts in mesophyll cells store carbon dioxide in?	They store CO2 in a four-carbon compound, which is why the process is called C4 photosynthesis.
0	Who created the nation's first aviation community?	Developer William Smilie created the nation's first planned aviation community.
0	How many members make up the Judicial Council?	It consists of nine members, both laity and clergy, elected by the General Conference for an eight-year term.
1	When was OPEC production of oil being surpassed?	This "sale" price was a windfall for oil-importing nations, both developing and developed.
0	What is the mortality rate of the modern bubonic plague?	The modern bubonic plague has a mortality rate of 30–75% and symptoms including fever of 38–41 °C (100–106 °F), headaches, painful aching joints, nausea and vomiting, and a general feeling of malaise.
0	What did Guo Shoujing do for calendars?	Guo Shoujing applied mathematics to the construction of calendars.
0	Which articles of the Free Movement of Workers Regulation set out the primary provisions on equal treatment of workers?	The Free Movement of Workers Regulation articles 1 to 7 set out the main provisions on equal treatment of workers.
0	When did Kublai ban the international Mongol slave trade?	Seeing this as damaging to the Mongol nation, Kublai in 1291 forbade the sale abroad of Mongols.
1	Prior to Super Bowl 50, when were the Carolina Panthers last there?	Coincidentally, both teams were coached by John Fox in their last Super Bowl appearance prior to Super Bowl 50.
1	What is the Norman architecture idiom?	Norman architecture typically stands out as a new stage in the architectural history of the regions they subdued.
0	How do pathogens avoid detection?	Pathogens can rapidly evolve and adapt, and thereby avoid detection and neutralization by the immune system; however, multiple defense mechanisms have also evolved to recognize and neutralize pathogens.
1	Which hotel did the Broncos use for Super Bowl 50?	The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott.
0	What did Tesla patent in 1891?	In the same year, he patented the Tesla coil.
1	Which cultures are represented in the V&A's collections?	The East Asian collections are among the best in Europe, with particular strengths in ceramics and metalwork, while the Islamic collection is amongst the largest in the Western world.
1	Who analyzes rock samples from drill cores in the lab?	These fossils help scientists to date the core and to understand the depositional environment in which the rock units formed.
1	What city did Tesla move to in 1880?	Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject.
1	To what can the use of prolonged breathing of oxygen at 60 kPa lead?	Acute oxygen toxicity (causing seizures, its most feared effect for divers) can occur by breathing an air mixture with 21%
1	What is a turbine's theoretical Carnot efficiency?	This low turbine entry temperature (compared with a gas turbine) is why the Rankine cycle is often used as a bottoming cycle in combined-cycle gas turbine power stations.[citation needed]
1	Where did Tesla teach in Gospic?	On 17 April 1879, Milutin Tesla died at the age of 60 after contracting an unspecified illness (although some sources say that he died of a stroke).
0	When did he first get out of bed following the accident?	In early 1938, Tesla was able to get up.
1	What year did Robert J. Shiller win an Economics Nobel prize?	High and persistent unemployment, in which inequality increases, has a negative effect on subsequent long-run economic growth.
0	What sort of motion did Watt's steam engine continuously produce?	In 1781 James Watt patented a steam engine that produced continuous rotary motion.
0	What was telenet	Telenet was the first FCC-licensed public data network in the United States.
0	Why do carotenoids make leaves change color in the fall?	They help transfer and dissipate excess energy, and their bright colors sometimes override the chlorophyll green, like during the fall, when the leaves of some land plants change color.
0	When did the European Anti-Fraud Office investigate John Dalli?	In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive.
1	In the mid 18th century, who did not concur that 1 should be the first prime number?	In the 19th century many mathematicians still considered the number 1 to be a prime.
1	What did Tesla do in Tomingaj?	Tesla said that this contact with nature made him stronger, both physically and mentally.
1	What brand sponsored the "Crash the Super Bowl" contest?	This would be the final year in a multi-year contract with Anheuser-Busch InBev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.
1	In what year was the Super Bowl last held in the Miami/South Florida area?	The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers.
0	Which Australian TV station has run Doctor Who since 1965?	In Australia, the show has had a strong fan base since its inception, having been exclusively first run by the Australian Broadcasting Corporation (ABC) since January 1965.
1	How tall is the Bank of America Tower?	The tallest building in Downtown Jacksonville's skyline is the Bank of America Tower, constructed in 1990 as the Barnett Center.
0	What Doctor Who story from 1970 is available on Blu-ray?	Only the series from 2009 onwards are available on Blu-ray, except for the 1970 story Spearhead from Space, released in July 2013.
1	Where did British resettle many Acadians?	Some were sent to colonize places as diverse as French Guiana and the Falkland Islands; these latter efforts were unsuccessful.
1	How are the explanations supported?	There is debate, however, over how extensive this reduction was.
1	What are two basic primary resources used to guage complexity?	One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.
1	What happened to nearby light bulbs?	People walking along the street observed sparks jumping between their feet and the ground.
0	In what city is the last Huguenot congregation in the US?	The last active Huguenot congregation in North America worships in Charleston, South Carolina, at a church that dates to 1844.
0	Which player played even though he broke his arm two weeks prior to the Super Bowl?	Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.
1	What color was featured in promotions related to Super Bowl 50?	Gold footballs were given to each high school that has had a player or coach appear in the Super Bowl, and "homecoming" events were also held by Super Bowl-winning teams at games.
1	Classification of resources is contingent on determining the upper and lower bounds of minimum time required by what?	To show a lower bound of T(n) for a problem requires showing that no algorithm can have time complexity lower than T(n).
0	What did Tymnet connect	SNA/SDLC, BSC and ASCII interfaces to connect host computers (servers)at thousands of large companies, educational institutions, and government agencies.
0	What was the first British empire based on?	The First British Empire was based on mercantilism, and involved colonies and holdings primarily in North America, the Caribbean, and India.
1	What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?	It was the third-most watched U.S. broadcast ever.
0	What was the Fresno Fairgrounds used as?	The Fresno Fairgrounds was also utilized as an assembly center.
0	For which Doctor did Keff McCulloch provide the theme?	Keff McCulloch provided the new arrangement for the Seventh Doctor's era which lasted from season 24 (1987) until the series' suspension in 1989.
0	In what years did the show see audiences as high as 12 million?	The second was the late 1970s, when Tom Baker occasionally drew audiences of over 12 million.
0	At what point in the day was the couple married?	On the evening of the same day, the couple was married by Bugenhagen.
1	What do astronaughts experience while in free-fall?	If an astronaut places an object with mass in mid-air next to himself, it will remain stationary with respect to the astronaut due to its inertia.
0	What was the most important governmental change to land tenure?	The most important of these was the Swynnerton Plan, which was used to both reward loyalists and punish Mau Mau.
1	What did Kenya name itself on December 12, 1964?	The Colony of Kenya and the Protectorate of Kenya each came to an end on 12 December 1963 with independence being conferred on all of Kenya.
0	What is the Royal Castle the most interesting example of?	The most interesting examples of mannerist architecture are the Royal Castle (1596–1619) and the Jesuit Church (1609–1626) at Old Town.
0	What is a single Plastoglobuli called?	Plastoglobuli (singular plastoglobulus, sometimes spelled plastoglobule(s)), are spherical bubbles of lipids and proteins about 45–60 nanometers across.
1	What is one way in which graphs can be encoded?	As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded.
0	What was the only region in Europe not conquered by the Germanic tribes?	Although by 1000 CE, the Germanic conquest of central, western, and southern Europe (west of and including Italy) was complete, excluding only Muslim Iberia.
0	What was the dual mission AS-258 a combination of?	Its Saturn IB was allocated to the dual mission, now redesignated AS-205/208 or AS-258, planned for August 1967.
1	What crops were introduced or popularized in the Yuan?	It had significantly eased trade and commerce across Asia until its decline; the communications between Yuan dynasty and its ally and subordinate in Persia, the Ilkhanate, encouraged this development.
0	When did the V&A acquired the Costiff collection?	In 2002, the Museum acquired the Costiff collection of 178 Vivienne Westwood costumes.
1	What did Luther explain about acquiring God's grace?	In this work, one of his most emphatic statements on faith, he argued that every good work designed to attract God's favor is a sin.
1	In what form are most hospital medications?	Hospital pharmacies usually stock a larger range of medications, including more specialized medications, than would be feasible in the community setting.
0	Who did Gegeen appoint as grand chancellor?	He continued his father's policies to reform the government based on the Confucian principles, with the help of his newly appointed grand chancellor Baiju.
0	What was AUSTPAC	AUSTPAC was an Australian public X.25 network operated by Telstra.
0	What is included with each packet label	Each packet is labeled with a destination address, source address, and port numbers.
1	What happened to the East India Trading Company in 1767?	In 1599 the British East India Company was established and was chartered by Queen Elizabeth in the following year.
0	What year did the Carolina Panthers form?	They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995.
0	Who was given the esteemed status of MVP for Super Bowl 50?	Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.
1	What kingdom annexed Warsaw in 1796?	The Royal University of Warsaw was established in 1816.
0	What was Maria Curie the first female recipient of?	One of the most famous people born in Warsaw was Maria Skłodowska-Curie, who achieved international recognition for her research on radioactivity and was the first female recipient of the Nobel Prize.
1	In what year was Wisconsin v. Yoder decided at the Supreme Court?	Private schooling in the United States has been debated by educators, lawmakers and parents, since the beginnings of compulsory education in Massachusetts in 1852.
0	Other than Point Conception, what landmark is used in the other definition of southern California?	Another definition for southern California uses Point Conception and the Tehachapi Mountains as the northern boundary.
0	What is the name of the European Union agency for external border security?	Frontex, the European Union agency for external border security, has its headquarters in Warsaw.
0	What year did two of Ghengis Khan and Börte's sons die?	Börte had three more sons, Chagatai (1187—1241), Ögedei (1189—1241), and Tolui (1190–1232).
0	When was a third visit to Mnafeld scheduled?	Luther journeyed to Mansfeld twice in late 1545 to participate in the negotiations for a settlement, and a third visit was needed in early 1546 for their completion.
1	What are outcomes expected with Medication Therapy Management?	In particular, Medication Therapy Management (MTM) includes the clinical services that pharmacists can provide for their patients.
0	Who has the record of being the oldest quarter back in any Super Bowl game?	Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls.
0	What is a regulatory factor produced by macrophages?	Macrophages are versatile cells that reside within tissues and produce a wide array of chemicals including enzymes, complement proteins, and regulatory factors such as interleukin 1.
1	What is the process by which the antigen/antibody complex is processed in to peptides?	As the activated B cell then begins to divide, its offspring (plasma cells) secrete millions of copies of the antibody that recognizes this antigen.
0	When was the Russian Policy "Indigenization" defunded?	Never formally revoked, it stopped being implemented after 1932.
0	In what year did John and Charles Wesley come to America to teach the gospel?	In 1735, John and Charles Wesley went to America to teach the gospel to the American Indians in the colony of Georgia.
1	Why was there a depreciation of the industrialized nations dollars?	The result was a depreciation of the dollar and other industrialized nations' currencies.
1	What was the Rhine considered to invaders in WWII?	Seven Days to the River Rhine was a Warsaw Pact war plan for an invasion of Western Europe during the Cold War.
1	Which Carolina Panthers player was named Most Valuable Player?	They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.
1	What educational study did Luther start to pursue and immediately  drop?	For Luther, reason could be used to question men and institutions, but not God.
1	What was the ancestor of chloroplasts?	Chloroplasts cannot be made by the plant cell and must be inherited by each daughter cell during cell division.
0	Where was Melanchthon at the time?	The story is based on comments made by Philipp Melanchthon, though it is thought that he was not in Wittenberg at the time.
0	How many types of science fiction have been impacted by Tesla?	The impact of the technologies invented or envisioned by Tesla is a recurring theme in several types of science fiction.
1	How many different species of ctenohore are there?	These variations enable different species to build huge populations in the same area, because they specialize in different types of prey, which they capture by as wide a range of methods as spiders use.
1	Which musical group did the V&A present in July 1973 as part of its youth outreach programme?	In July 1973, as part of its outreach programme to young people, the V&A became the first museum in Britain to present a rock concert.
0	Where does the Lek join?	It flows farther west, to rejoin the Noord River into the Nieuwe Maas and to the North Sea.
1	What is the annual construction industry revenue in 2014?	In the United States, approximately 828,000 women were employed in the construction industry as of 2011.
1	What is notable about the Amazon forest when it is seen from space?	The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land.
1	What did Tesla think could improve the brain's intelligence?	The whole room will thus, Mr. Tesla claims, be converted into a health-giving and stimulating electromagnetic field or 'bath.'
1	What was Tesla's father's name?	Tesla's mother, Đuka Tesla (née Mandić), whose father was also an Orthodox priest,:10 had a talent for making home craft tools, mechanical appliances, and the ability to memorize Serbian epic poems.
1	What objects in organisms absorb singlet oxygen to prevent harm?	In nature, singlet oxygen is commonly formed from water during photosynthesis, using the energy of sunlight.
0	Who is known as the first Keeper of Fine Art Collection at the V&A?	George Wallis (1811–1891), the first Keeper of Fine Art Collection, passionately promoted the idea of wide art education through the museum collections.
0	What was the final score of Super Bowl XXXIII?	The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19.
1	Who shared sideline reporting duties with Mark Malone?	Jim Gray will anchor the pre-game and halftime coverage.
