label	premise	hypothesis
1	I will practice The Look on old French ladies who are happy to have any old look at all, I say, and then, as I get the hang of it, move gradually into the big leagues.	I will use the look on younger women after I improve.
1	He unleashed a 16-day reign of terror that left 300 Madeirans dead, stocks of sugar destroyed, and the island plundered.	He resigned very quickly after the reign of terror.
0	This confluence of a bad tax, a $1 billion reserve, a botched opposition campaign, and voters willing to call a bluff resulted in the I-695 victory.	The I-695 victory was the result of a botched opposition campaign and votes willing to call a bluff.
1	Per week?	The week is the first in the month.
2	But I've seen five other bodies come down like this.	This is the first body that came down like this.
0	it's neat when you think about how she wrote it and stuff otherwise the lyrics are kind of	How she wrote it was pretty cool. 
1	The entire city was surrounded by open countryside with a scattering of small villages.	The countryside is very lovely and peaceful. 
0	yeah and every once in a while they'll have dressing but uh whoever makes it uh goes crazy with the sage	Sometimes they have dressing but they use too much sage.
0	in each square	Inside every square.
0	Most of Slate will not be published next week, the third and last of our traditional summer weeks off.	Slate's publishing schedule will be altered next week.
2	I have been visiting an old woman in the village, she explained, "and as Lawrence told me you were with Monsieur Poirot I thought I would call for you."	I don't know anyone in the village. 
2	AC Green's pretty good	AC Green's a horrible player.
2	that they don't show local	The presumed channel shows local and abroad. 
2	We'll be the first to admit we make mistakes, but most of those are bureaucratic.	We never make mistakes.
2	I felt an immeasurable 230 contempt for him… .	I felt great respect for him...
0	I entered her shack, opening the painted door covered in runes of warding.	I entered the shack, despite the runes of warding painted over the door.
1	Homes or businesses not located on one of these roads must place a mail receptacle along the route traveled.	The other roads are far too rural to provide mail service to.
0	Intifada to the Present	The extending from the Palestinian uprising until today.
1	What you say about Lawrence is a great surprise to me, I said. 	I think Lawrence is telling the truth, so what you say is a surprise.
0	Students of human misery can savor its underlying sadness and futility.	Students of human misery will be delighted to see how sad it truly is.
2	Two natural rock formations are always pointed out on excursions.	There is only one natural rock formation in the area.
1	In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.	The Republicans changed their theme after 1995.
0	All-inclusive units are in villas and a great house in tropical setting overlooking Caribbean.	The all-inclusive units are considered villas.
2	As a professional courtesy, GAO will inform requesters of substantive media inquiries during an ongoing assignment.	GAO will never inform requesters of substantive media inquiries during an ongoing assignment. 
0	what do you think about uh about our new governor since she happens to be a female	What do you think about our new governor being a female?
0	Come on, let's have tea. 	Let's have tea.
2	Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...	Emotional habits and dreams are always derived from candy and popcorn.
2	Ca'daan heard the Kal grunt and felt the horse lift.	The Kal heard Ca'daan grunt.
1	well i i'm doing computer science computer engineering	I switched my major last semester.
2	That is exactly what our head coupon issuer Alan Greenspan did in 1987--and what I believe he would do again.	This is what Greenspan did in 1987 so I don't think he will do it again.
2	Jon's feeling of age and weariness must have shown.	Jon was feeling young and spry.
1	In the first instance, IRS would have no record of time before the person could get through to an agent and of discouraged callers.	The callers are encouraged to call multiple times.
0	yeah i can usually i can put in oh probably mid March i can put anything in the ground you know beets and onions and stuff like that	I can put pretty much anything in the ground, from beets to onions.
2	It lacked intelligence, introspection, and humor--it was crass, worthy of Cosmopolitan or Star . I do have a sense of humor, but can only appreciate a joke when it starts with a grain of truth.	The article won a Pulitzer Prize.
1	She hates me."	She doesn't like people like me. 
1	San'doro's blood ran over Stark's blade and into Stark's other cupped hand.	Stark was happy that San'doro was dying.
1	There are also ferries to Discovery Bay.	The ferries to Discovery Bay are expensive.
2	I leap!" And, in very truth, run and leap he did, gambolling wildly down the stretch of lawn outside the long window. 	The man yelled that he would sit down, and sit down he did.
2	5) The Democrats are reaping what they sowed (after torturing Robert Bork, John Tower, and Clarence Thomas).	Democrats rarely have any political relevance.
1	Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. 	The chest was built over 200 years ago.
0	Enter the realm of shopping malls, where everything you're looking for is available without moving your car.	Everything in a mall is available without the necessity of moving your car.
0	His plan was a simple a symmetrical design with straight streets and grand squares.	A symmetrical design with straight streets was visible on his plan.
2	After several years of private practice from 1982-90, he became the judge of Decatur County Court for a year.	After working in the military for nearly a decade, he became Sheriff of Decatur County.
2	The third row of Exhibit 17 shows the Krewski, et al. 	Exhibit 17 has 2 rows.
1	Among runners-up is Boston solo Eleanor Newhoff.	Eleanor Newhoff had trained hard for the Olympic triathlon. 
0	A group of guys went out for a drink after work, and sitting at the bar was a real  a 6 foot blonde with a fabulous face and figure to match.	A stunning six foot blonde woman sat at the bar with the men after work. 
2	Montmartre is lively at night, with famous clubs such as Au Lapin Agile.	Montmartre has no life at night.
0	This fellow is flying a hot air balloon and suddenly realizes he is lost.	This fellow is flying a hot air balloon and is lost.
2	but i think that's probably a good idea	That's definitely a terrible idea.
0	If ancient writings give only a romanticized view, they do offer a more precise picture of Indo-Aryan society.	Ancient writings don't show an accurate picture of Indo-Anryan society.
1	I hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence.	There are fifteen necessary steps which should be taken.
2	and the like a guy does it and he has his own pigs	He doesn't have any pigs so he borrows them.
1	There should be someone here who knew more of what was going on in this world than he did now.	Everyone knew more of what was going on in the world than him. 
0	Initial demand for land in the New Town was not spectacular; in fact, incentives had to be offered to entice buyers.	Buyers were offered incentives to persuade them to buy land in New Town.
2	I shan't stop you."	You can stop.
2	The movie doesn't come to much, though.	There was a lot to this movie.
1	Can you point me to housewares?	As I ask for directiions, I'm wondering if they even sell household goods here.
0	Cirque du Soleil's The latest from the acclaimed international troupe, O dazzles in an aquatic environment that utilizes 1.5 million gallons (6.8 million liters) of water.	Cirque du Soleil is an international troupe.
0	for a change i i got i get sick of winter just looking everything so dead i hate that	Everything is dead in winter.
1	so uh listen i'll call Triple A uh auto club any time	Triple A covers my car out of state as well.
2	They have prominent red protuberances and may have been named after the British redcoats.	They were named for their black skin.
0	Puppet Shows.	Productions using puppets
0	An organization's activities, core processes, and resources must be aligned to support its mission and help it achieve its goals.	An organization is successful if its activities, resources, and goals align.
0	Then it occurred to me that the criminal standard was a low one.	I then realized that criminals have small ideals.
2	You're all right now.	You're not okay now. 
2	While parents may pick up this gay semaphore, kids aren't likely to.	Gay kids always recognize gay signals. 
1	If they have overestimated how far the CPI is off, Boskin and his commission may institutionalize an underestimated CPI--guaranteeing a yearly, stealth tax increase.	There is no chance they have overestimated how far the CPI is off. 
1	 8th circa b.c.Greeks colonize Sicily and other southern regions	Before colonizing the southern regions, the Greeks conquered the northern regions.
1	Expectations that the ANC would oversee land reform--returning land seized during apartheid's forced migrations--and wealth redistribution have not been met.	The ANC would be in charge of land reform in South Africa.
2	Despite protests by preservationists, there was little alternative.	There were various alternatives and one that was appeasing to everyone was implemented.
0	we were lucky in that in one respect in that after she had her stroke she wasn't really you know really much aware of what was going on	She had a very serious stroke.
2	Anyway, thank you very much for trying to help us.	We are upset that you didn't try to help at all.
2	Until all members of our society are afforded that access, this promise of our government will continue to be unfulfilled.	The promise of our government is met regardless if everyone can afford that access
1	From that spot she could see all of them and, should she need to, she could see through them as well.	She could see through the ghosts with ease.
1	The doctor accepted quite readily the theory that Mrs. Vandemeyer had accidentally taken an overdose of chloral.	Mrs. Vandemeyer may have been trying to kill herself. 
2	OMB has approved the information collection contained on the Form ADV and has	OMB staunchly opposed the information collection contained on the Form ADV.
0	and i'll go there for you know two months straight we won't go anyplace else	I'll go there for two months straight, we won't go anywhere else.
2	Nowadays it is bordered by ancient columns and lined with expensive shops.	It's surrounded by columns, but there are no shops around.
1	huh-uh the the yeah see the Taurus Show has the spoiler kit and the and the big engine and the and stuff like that	The Taurus show had a lot of other auto parts.
2	The man had probably heard him urinating or maybe even noticed the change of his breath as he awoke.	The man woke up to sheer silence.
2	Instead, we could recommend that, compared with other settings, the prevalence of alcohol problems among ED patients makes it worthy of careful consideration.	ED and alcohol dependency issues are completely unrelated.
0	and not only that it it opens you to phone solicitations	It also opens the door to move marketing calls.
2	Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.	The eligibility can not be restricted at all.
0	He works himself into a fake froth; does some calculated, halfhearted gonzo writing; then collects a fat check.	He collects a big check for pretending to be outraged.
2	Fruit, vegetables, electronics, and a little bit of everything else is on sale here.	Nothing is on sale here.
1	The Lake District is not the place to come if you want lots of action into the early morning hours.	The Lake District isn't where to go when you want a lot of action because it closes down before midnight!
0	Concentration of greenhouse gases, especially CO2, have increased substantially since the beginning of the industrial revolution.	Greenhouse gases have increased because of the industrial revolution.
2	All of a sudden I sat down on the edge of the table, and put my face in my hands, sobbing out a 'Mon Dieu! 	I sat down on the table and started laughing out loudly.
2	Both professors soon realized that creating a new language was not an easy task.	Professors realized it was easy to make a new language.
1	No money no results!" Another voice which Tommy rather thought was that of Boris replied: "Will you guarantee that there ARE results?"	Can you guarantee that there will be results with money? 
2	Who are these sons of eggs?	I know exactly who these sons of eggs are.
0	you can get a hard copy of it and that's about it	Your only option is to get a hard copy.
2	After being diagnosed with cancer, Carrey's Kaufman decides to do a show at Carnegie Hall.	Carrey's Kaufman is only diagnosed with cancer after doing a show at Carnegie Hall.
2	She, in turn, was worshipped by her subjects as a living god.	Uninteresting to her subjects, she was ignored by them.
2	The first historical mention of Agra is in 1501, when Sultan Sikandar Lodi made it his capital.	The first historical mention of Agra is in 1911.
2	At eight in the morning.	At seven in the morning.
2	On the easternmost tip of Jamaica stands Morant Point Lighthouse, built in 1841.	Morant Point Lighthouse is in Mexico.
2	Who? asked Tommy.	Tommy asked about the location.
0	i don't know i i do i can think of all the uh the biblical things about it too where what did they say to uh i can't think of the scripture Render unto Caesar's what is Caesar's so	I know there are things related to religion and the bible.
0	Knowing this can help workers understand that some combination of revenue increases and benefit reductions will be necessary to restore the program's long-term solvency.	This helps workers understand the restoration of the program's long term goals.
1	She seemed so different  "	She had changed a lot since the last time we'd seen her.
0	This site includes a list of all award winners and a searchable database of Government Executive articles.	All of the award winners are listed on the site.
2	Enter the realm of shopping malls, where everything you're looking for is available without moving your car.	A shopping mall is a sparse network of stores, that requires a significant amount of travel to go from one store to another.
2	Time reports that Harrer denies having known she was.)	Harrer was will aware that she was.
0	She seemed so different  "	She acted rather different.
0	The route passes in sight of two uninhabited Es Vedr? , which hovers like an apparition on the horizon off to the west, and Espalmador, which is popular with yachtsmen for its white-sand beach.	The route pass is uninhabited.
2	that's true i didn't think about that	That's not true.
2	yeah i've always threatened to take lessons but i've never gotten around to it	I have been taking lessons for about fifteen years. 
2	Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids.	Beatrice and Grace ended up in prison at the end.
0	It must also report the information to the employee's home agency promptly to facilitate disbursement of pay by the home agency.	Disbursement of pay must be facilitated by reporting information to the home agency.
2	The younger girl ran screaming to her.	The young girl stood frozen in her place. 
0	British action wouldn't have mattered.	It wouldn't have mattered if Britain got involved.
1	and the same is true of the drug hangover you know if you	It's just like a drug hangover but worse.
2	The Palace of Jahangir is built around a square court with arches.	The Spanish Palace has a round court inside.
0	Don Saunders attended from the NLADA.	The NLADA sent Saunders.
0	The H-2A worker must depart the country and is subject to deportation for failing to do so.	The H-2A worker is being forced to leave the country.
1	Challenges to Restore Public Confidence in	There will be town hall meetings held to address the public's concerns.
0	The game of billiards is also hot.	People like billiards.
2	so i'll probably say you know it's like well we've been talking for five six minutes so okay	We've been talking for about 2 hours.
2	This site includes a list of all award winners and a searchable database of Government Executive articles.	The Government Executive articles housed on the website are not able to be searched.
1	Say, man, don't you know you've been given up for dead? 	You were given up for dead after we lost you in the desert for three weeks.
0	My usual partner.'	My partner I usually have.
2	His voice was even and calm, not a hint of rage.	He was a mess of nerves and rage.
1	Many lakes or sections of lakes are also wildlife conservation areas; these guides list the regulations that are in effect to protect water birds and other animals.	People who hunt in the wildlife conservation areas will go to jail.
1	Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.	It is not far to go to find good drink, gorgeous views, and live music. 
1	You can either fly on TAP/Air Portugal (15-minute flight) or take the ferry (which leaves daily at 8am; Tel. 291/226 511).	Taking the plane will give you more departure timing options than the ferry.
0	excessively violent i was worried it's like golly if kids start imitating that	I hope that the children will not mimic this type of extreme violence.
1	it it like strange that it you're right in the middle of the mountains and it's so brown and dry but boy you just didn't feel	There are as many mountains as ten.
0	those little kids don't understand it	Those young children can't comprehend it. 
1	Some rooms have balconies.	Some rooms have balconies off of them that overlook the ocean.
1	Do you know what this is?" With a dramatic gesture she flung back the left side of her coat and exposed a small enamelled badge.	The coat that she wore was long enough to cover her knees.
2	My bottom line is that I would recommend the book to students and colleagues and I hope it does well, despite its anti-intellectual p.c.	I can't stomach this book, so I'm not going to recommend it
1	His plan was a simple a symmetrical design with straight streets and grand squares.	A symmetrical design with straight streets was visible on his plan and echoed in hers.
2	the net cost of operations.	The gross cost.
2	i've been getting a kick out of those lately	I guess they just don't like me. 
0	2. Receiving Water Samples	The water samples should be received.
2	but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in	These men filed their midterm exams from home. 
0	and these comments were considered in formulating the interim rules.	The rules developed in the interim were put together with these comments in mind.
2	and then i got into it and then back out of it and it it just seems like every couple of years i get back in there	I have been into it consistently for the past years.
0	Ca'daan saw confidence flow back into the young man.	The young man became more confident.
2	He fled in his car when cops arrived and led them on a chase that ended in the massive crash.	He stayed put and calmly showed the officers his license and registration.
2	Through Responsive and Naturalistic Approaches.	Unnatural and unresponsive approaches
1	It's come back? cried Julius excitedly.	They thought it was gone forever.
0	The pieces paying 33.	More than 30 pieces paying.
2	It is worth a visit, if only to see the theater itself.	It's advisable to skip seeing the place entirely.
2	But overinterpretation or even misinterpretation are not the same as bias.	misinterpretation is the same as being bias. 
1	Meet the Press host Tim Russert took his Christmas vacation five days early by letting Rep.	Tim Russert took an early vacation be letting no one know. 
2	i'm not sure what the overnight low was	It was 37 degrees last night.
2	Cybernetics had always been Derry's passion.	Derry knew nothing of cybernetics.
2	i don't know how what it would take to be come up with a true perfect system or if one exists but	I can give you the solution that is the perfect answer.
1	Now they're telling mothers to deny food to infants all night long once the kids are a few months old.	It is better to force infants to eat during the day time.
2	ECONOMETRIC MODEL -An equation or a set of related equations used to analyze economic data through mathematical and statistical techniques.	Economic models are not related to data
1	… I succeeded in my false career.	I was very good at pretending to work.
0	The river-beds are mostly too shallow for anything but flat-bottomed boats.	Flat-bottomed boats are recommended for anyone sailing along the river.
0	Other attractions include hot springs, a market, and the forests and ski-slopes of nearby Uluda .	Markets, hot springs, and ski slopes make up some of the other attractions here.
1	i've even heard of some people being sexually abused	Some people are sexually abused by nurses.
2	The Leland Act  (1) simplify the household definition	A household is a concept that cannot be defined.
1	It is really a matter of waiting."	It all depends on patients.
1	well Dana it's been really interesting and i appreciate talking with you	Thanks for calling me, Dana.
0	The aggregate effect on the amount of federal government saving is what affects the level of national saving and economic growth.	Federal government saving affects economic growth.
0	From that spot she could see all of them and, should she need to, she could see through them as well.	She could see through them all.
2	Additional information is provided to help managers incorporate the standards into their daily operations.	Managers should develop their own standards for operations without any assistance.
2	It vibrated under his hand.	It sat in his hand still, devoid of movement or sound.
0	yeah they're still laying off like over in Fort Worth and a lot of other companies too just here and there	There are a lot of companies that are still laying people off.
2	a 808(2) only applies if the agency finds with good cause that notice and public procedure thereon are impracticable, unnecessary, or contrary to the public interest.	An 808(2) is always applicable to public procedure.
1	The other bank pays the fund interest based upon tiered account levels, more typical of a large commercial account.	The fund account has five different tiers.
0	And put like that, she added confidentially to Tommy, "nobody could boggle at the expense!" Nobody did, which was the great thing.	She talked to Tommy
1	Hence, it appears likely that the proportion of LC to AO mail is less for inbound mail than for outbound.	It looks like the proportion of LC to AO mail is less for inbound mail than for outbound, said the manager.
1	uh i really i miss college i had a good time	I would like to go back to university. 
2	Professor Rogers began her career by clerking for The Honorable Thomas D. Lambros of the United States District Court for the Northern District of Ohio.	Professor Rogers has always been a clerk to him.
1	right well the warmth that developed between them and again it i think was a picture of relationships	They got married after a while.
2	Standard screens may not perform as well in these patient subgroups that may represent a considerable part of the ED population.	Standard screens will be better than average in these subgroups of patients.
2	Poirot answered them categorically, almost mechanically. 	Poirot did not bother to answer them at all.
1	uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him	I think he is good, but not the best.
0	Cop  Bud White (Crowe) and Ed Exley (Pearce) almost mix it up (59 seconds) :	Bud White and Ed Exley almost mix it up.
2	well uh what do you think about taxes do you think we're paying too much	We pay just the right amount of taxes.
2	Under Ferdinand and Isabella, Spain underwent a dramatic transformation.	Spain embarked on a long period of stagnation under Ferdinand and Isabella.
0	Also, under credit reform, the credit subsidy cost is recorded as an outlay when a direct or guaranteed loan is disbursed.	When a direct loan is disbursed, the credit subsidy cost will be recorded as an outlay under the reform.
1	uh we've gotten a little Atari computer uh husband describes it as a a computer with training wheels	We can play certain games on the Atari, which we enjoy. 
0	'For one thing, Mr. Franklin, you appear to be taking your...re-actualisation...extremely well.'	Mr. Franklin is taking the situation very well.
0	Click here for Finkelstein's explanation of why this logic is expedient.	Select this option for Finkelstein's understanding of why this logic is expedient.
2	probably so yeah you can get a head start on it	You can't get a head start on it.
0	Founded by Alexander the Great on the Mediterranean coast in 322 b.c. , Alexandria was capital of Egypt during the Ptolemaic era.	Alexandria, capital of Egypt during the Ptolemaic era, was founded in 322 b.c. by Alexander the Great.
2	Some travelers add Molokai and Lanai to their itineraries.	No one decides to go to Molokai and Lanai.
2	Acquaintances of mine have become Orthodox because of the codes.	My acquaintances shied away from becoming Orthodox because of the codes.
0	It was worth the trip for that.	Someone gained something from it.
2	The analysis presented here is an attempt to address the second argument.	Nobody has attempted to address the second argument in any paper.
0	much with whatever it's with the Black the Black problem or whatever that may be now	There is a Black issue that could be called something else now.
2	Whether you drink beer or alcohol or not, a trip to Dublin isn't complete without a visit to some of its pubs don't miss this experience.	If you don't drink, don't bother visiting the pubs in London.
2	Her eyes flashed continually from one window to the other.	She was looking intently at the one window in front of her.
2	They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.	They said that the current system doesn't reflect
1	i don't know um-hum	I have no idea about their opening time.
0	Jon ran as the tunnel collapsed behind him.	The tunnel collapsed behind Jon as he ran.
0	you know we keep a couple hundred dollars um if that much charged on those which isn't too bad it's just your normal	We have some money on there
1	It was deserved.	it was definitely deserved
0	However, SCR installations designed to comply with the NOX SIP Call are generally already into the installation process or, at a minimum, into the engineering phase of the project.	SCR installs have NOX SIP to comply with.
0	Since the rules were issued as interim rules and not as general notices of proposed rulemaking, they are not subject to the Unfunded Mandates Reform Act of 1995.	The rules were issued as interim rules and not general notices of proposed rulemaking.
0	As the road climbs toward the entrance, you'll pass fields full of Santorini's famed tomatoes growing on the steep slopes.	Along side the road leading to the entrance, you will pass fields of tomatoes.
0	We need to be sure of our going." But Tuppence, for once, seemed tongue-tied.	Tuppence couldn't speak.
0	(Never mind the strictest reading, which supposes that creation took a week.)	The strictest reading supposed that the creation took seven days.
0	Great mistake to say too much.	It screwed things up when they said too much.
2	The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.	The village is not named after the settling explorer.
0	He was crying like his mother had just walloped him.	He cried like his mom hit him.
2	The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.	The Women's Haven needs to hire a full-time lawyer.
1	It's very hard to believe, for anyone who knows me well, but I was actually speechless for a period, Zelon said.	Zelon is normally a talkative and opinionated person.
2	Each caters to a specific crowd, so hunt around until you find the one right for you.	You won't have to search at all to find one that works for you.
0	Marina del Rey is another, where you can also charter a yacht.	One can charter a yacht in Marina del Rey.
1	Reportedly the biggest payment made in such a case, it is hardly a nick in Texaco's annual revenue of more than $30 billion.	The biggest payment was a few million dollars.
1	Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...	Critics believe Goodman played a great father in this role.
1	I should put it this way. 	I should explain the battle to you.
1	Savonarola burned in Florence	Savonarola was branded a heretic and burned at the stake.
