label	premise	hypothesis
1	An athletic woman in a gray top and black shorts, seems very focused on her rollerblading.	woman going to park
2	People in chairs around a table	The people are climbing a mountain.
0	A man is reading a book while sitting on a bench outside of a bookstore.	A man is reading on a bench outside of a store.
0	Construction workers are standing upon on a wooden bridge.	The bridge is wood
2	A topless man straps surfboards on top of his blue car.	A man is sitting on the couch.
0	Two young teenage girls hiking through the snow on a cold winter day.	Teenagers are hiking in the cold.
2	Man in plaid shirt sings into microphone while playing an acoustic guitar.	A man is walking.
2	A group of girls jumping over another girl who is laying on the floor.	A gorup of girl is laying down.
2	Construction worker standing atop an unfinished building.	The construction worker is dead.
1	A boy rides his skateboard at the park.	A sad boy rides his skateboard at the park.
2	Two people crossing by each other while kite surfing.	There is one person outdoors.
2	A man is dancing in front of a band.	The man is buying groceries.
2	A man dressed all in black puts his hands on an art sculpture.	The man is robbing a bank
1	The flight attendant dressed in yellow demonstrates life vest usage.	A flight attendant is standing in front of passengers.
1	A girl wearing a scarf is brushing a horse.	A girl is brushing a horse after coming back from a ride in the snow.
2	two girls looking out the window at "Hair at Hart."	A bird attacks its reflection in a window.
0	A bird is perched on a tree branch.	A bird is perching in a tree.
2	Two men and two women in jackets walk down a large city street.	People eating lunch together.
0	An SUV traveling through mud.	Suv travelling through mud
2	A shirt booth with a man printing a shirt.	The man is printing some pants.
0	A person is surfing a big wave.	 A person is surfing.
0	a big black dog jumps in the air to catch the tennis ball in his mouth.	A dog is jumping.
2	The tennis player spikes the tennis ball on the boundary line.	A boxer is kayaking.
1	A statue at a museum that no seems to be looking at.	The statue is offensive and people are mad that it is on display.
1	A boy in a blue jacket rides a skateboard down the street.	A blue jacketed boy is speeding down the street.
2	Two women and a man are sitting down eating and drinking various items.	Three women are shopping at the mall.
2	A dog with a collar on lying on the street.	The dog is standing on two legs.
1	Two gondola operators sit along a road in Italy.	The gondola operators are in uniform.
1	A baby is looking into what looks like a telescope.	An infant looks through a telescope pointed at the planet Jupiter.
1	A group of children in African clothing.	Some humans in green clothing
1	A shirtless man with cropped hair smokes a cigarette and ties a plastic bag.	The man doesn't care much about his health.
2	A young boy vocalizes in to a microphone held by a blond woman in black.	Two girls playing the drums.
1	A group of people are camping out on some rocks.	People rest while climbing a mountain.
0	A woman in black reviews a message as she walks to work.	The woman in black has a job.
0	several people are bike riding.	Some people are riding bicycles.
0	A beautiful bride walking on a sidewalk with her new husband.	A couple walks outdoors together.
1	A man in bright shirt carrying a fallen branch.	The man is cleaning up his yard after the bad thunderstorm the evening before.
0	A scientist studies a slide in order to work on her new creation.	A scientist studies a slide that is related to her invention.
1	A little white dog runs outside, their ears blown back in the wind.	A dog is running towards it's owner.
1	A woman is taking a picture of a girl on a scooter.	The woman is the girl's mom.
2	A little white dog runs outside, their ears blown back in the wind.	The pet is taking a nap.
0	Women sitting at steel table next to a man standing and holding his bicep.	a women is holding a mans bicep
0	An old man holds up a sign.	A man is holding a sign.
2	A man in an overcoat putting on his gloves at a subway station.	A man is taking the bus.
0	A kid playing a game called The Derby.	The child is playing.
2	A boy and girl child swing together on a swing set.	A boy and a girl are cooking breakfast.
2	2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.	10 people are kissing
1	A big dog catches a ball on his nose	A big dog is sitting down while trying to catch a ball
1	A light colored dog leaps over a hurdle.	A show dog is showing tricks for the judges.
0	A man in a blue shirt is performing a skateboarding trick near stiars while two other men watch.	A person in a shirt
0	Beautiful girl in white dress steps into the sunlight.	It is a sunny day.
0	Two musicians and a singer are on a stage performing a song.	Band performing a song on stage.
0	A man in a blue jacket leans on a post and talks on the phone while an old man carries yellow bags.	A man talks.
2	A boy kneeling on a skateboard riding down the street	A boy standing upright on a skateboard.
1	An old woman walking down the street.	A woman on her way to church.
1	A guy taking a nap in the back of a vehicle.	A man is dozing off while bumming a ride in the back of a truck.
0	A woman is leaning against a wall with her shoe off.	A woman is wearing only one shoe.
1	A shirtless man rock climbs.	A man is doing his hobby
1	A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.	the crowd is a mob
2	A large group of protesters are walking down the street with signs.	The group of protesters are ordering ice cream in a store.
1	an elderly woman walking down the street.	An elderly woman is walking to her doctors appointment.
2	Three children are playing on a swing in the garden.	Three children are swimming in a pool.
1	An Eastern vendor sits by his stall with a rooster nearby.	a rooster near a vendor hoping for food
1	While two students are jumping, others in a classroom are sitting or standing.	Two students disrupting class.
2	two dogs fighting over a pink and red toy	The dogs are eating from their dog bowls.
1	A man walks three white dogs with spots down a street with palm trees.	the dogs belong to the man
1	Two children play in the snow by the side of the road.	Kids are enjoying the cold weather.
0	A group of mountain climbers rests at the summit.	A group of climbers takes a break.
0	Two dogs in a grassy field.	Two dogs are outside.
2	A man playing a large stringed instrument on the street.	The man is standing on the platform waiting for a train.
1	A man wearing his traditional ethnic clothing laughs as he views a show.	A man is laughing as he watches a show in a theater.
0	Two people sitting on the sand.	There are two people sitting down.
2	A woman in an apron is looking for bread.	A woman is talking on the phone in her bedroom.
1	A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.	The tennis ball was thrown really far.
0	A man swings his tennis racquet as the tennis ball gets closer to him.	A man is playing tennis.
0	A boy in a swing.	boy swinging
1	Two men are standing in a boat.	A few men are fishing on a boat.
1	A man and a woman are standing at the side of an inflatable climbing structure.	A man and a woman are talking
1	Two teams of men are playing basketball on a court in an empty stadium.	The men are making shots.
2	Cook handling hot tray with food on it.	girl eats cotton candy
1	Two girls wearing hats are running through snow drifts outside.	two white girls running
1	Blond woman overlooking Seattle Space Needle scene.	A tourist checking out Seattle.
2	A brown and black dog runs on the grass outdoors in front of a sidewalk.	The animal is sleeping in the basement.
1	A man on a skateboard performs a trick in the air against the backdrop of a bright blue sky.	A man is a good skateboarder
0	a black dog chases a boy wearing red and blue.	a dog chases a boy
2	Military personnel are shopping	People in the military are training.
0	A blond woman in a white shirt demonstrates her talents to a crowd.	A woman performs for the crowd.
2	A man wearing a red vest is walking past a black and green fence.	The man wearing the vest is sitting on the sofa.
0	The coaching official and football player are talking in front a crowd and other team members.	People talking
0	Two ladies at workout in mother nature.	The two ladies are outside.
0	A woman is carrying two children in the middle of a large crowd.	a woman carries children
1	A man sitting on an elephant with a riding seat is talking to a female tourist.	An old Asian man riding a baby elephant.
0	A shirtless man rock climbs.	A man is outside
1	A group of young people pose for a picture in a field	They are taking a class photo.
1	A man pulling items on a cart.	A man is taking things that he bought at the store home.
0	A half dressed man is sleeping on the sidewalk.	A man is asleep
0	Two people walking down a narrow alley with large buildings on each side.	Two people are walking down an alley.
2	A white and black spotted dog is running through a grassy area.	A dog is asleep on the couch.
0	Everyone is getting ready to play the game.	People prepare to play games.
1	A man grilling a hamburger.	The man is wearing an apron.
1	a man with a cap and not wearing shirt is laying a wooden bench.	A person rests on seat
1	Woman smiling while holding a book and yellow paper star.	the woman reading book in the hall
2	An emergency worker directs a man pulling a sled with emergency equipment on a snowy path.	An emergency worker is at the beach.
2	A large black and white dog is licking a smaller white and black dog who is growling.	The dog is red
1	A young girl holding a toddler.	A sister holds her little brother.
2	A man wearing a hat and carrying a bag	A man is walking empty handed.
2	A young woman is about to descend the stairs into a metro station.	A lady is taking a bus
1	A young boy and an adult man looking at ducks in a pond.	The boy and his dad walk along the edge of the pond.
2	Two female martial artists demonstrate a kick for an audience.	Two female artists are demonstrating punches for the audience.
1	Three people are dressed in costumes and playing musical instruments.	The people are playing at a festival.
0	A man juggles a flaming staff in the dark.	A man juggling.
2	A light technician man with tribal tattoos aiming a spotlight over a balcony.	An actress takes the stage.
2	Two men renovate a brick wall outside.	Both of the men are on break.
0	A shirtless man skateboards on a ledge.	A man without a shirt
2	An Indian woman is dancing with her partner.	A woman is swimming.
1	A woman and two men, that are dressed professionally, are having a discussion.	A woman and two men are negotiating a threesome.
2	A young boy poses behind the netting of an enclosed play area while three other children play.	A girl poses in front of people
2	Two dogs stand side by side in the yard.	Two dogs sitting on the porch.
1	A man in a black shirt working on a guitar.	A guy working on his bass guitar.
1	A tan dog chases a black and white soccer ball.	A dog is at the park with it's owner.
2	A toddler sits on a stone wall surrounded by fallen leaves.	An child is throwing stones at a leaf wall
0	Two rescue guys looking at a guy on a stretcher	A man on a stretcher.
0	Four young boys flexing for the camera.	For boys are flexing
2	A group of people in red clothing with scooters ride down the hill on rollerblades.	Everyone is wearing green clothing.
2	A surfer showing off his talent in public using a man-made water machine.	A man is cutting the grass.
2	Two small children walk away in a field.	Two small children are sitting down, eating ice cream.
0	Two belly dancers perform with each other in the streets while passersby look on and watch the display.	Two belly dancers perform
1	Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.	Bruce Springsteen is gay
1	A man flying out of a river raft filled with 6 other people.	The raft is filled with 6 females.
0	Dog running with a purple toy in the snowy field.	A dog is running.
2	A girl crosscountry skis.	A girl is strolling down the park.
2	Two people walking down a narrow alley with large buildings on each side.	Two people are sitting in an alley.
2	A nurse is listening to another women's heartbeat with a stethoscope.	A nurse taking the temperature of a woman.
2	Two men stand on stairs with an assortment of chairs and a woven basket in the foreground.	The men are sitting.
2	People with bags walk along a dirt road in front of a green building.	People are riding a bus.
0	A guy on Rollerblades, sliding across a rail.	The skateboarder rides the rail.
2	A guy taking a nap in the back of a vehicle.	A man is driving a truck blindfolded.
0	A bald man with a white shirt and watch eating food and drinking wine.	There is a bald man.
0	Large brown dog walking in shallow water.	A brown dog is walking outside
1	Two people crossing by each other while kite surfing.	The people are both males.
0	A young boy wearing an orange jacket is sitting on a log in the fall.	A boy is sitting on a log.
0	Kids work at computers with a teacher's help.	The kids sit in front of computers.
0	women's soccer team competing on the field.	A women's soccer game.
1	A small dog runs to catch a ball.	The dog is a chihuahua.
1	Cityscape with four men on bikes serving as the focal point of picture.	Bike rental as low as 9.99 an hour.
1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.
0	A skateboard is grinding on a curb with his skateboard.	The skateboard is grinding.
2	A man with a latex glove and black t-shit is standing in front of a Chevy van.	a man in his van because he caught his victim
1	A young lady toying with her watch.	A woman is adjusting the time on her watch.
1	The African American man protests against unlawful sex.	The man protests in something he doesn't believe in.
1	Two fans are cheering at a sporting event.	Two men are cheering on the New York Yankees.
2	A man wearing a brown hoodie is shopping for snacks.	The man is wearing a red shirt.
2	A group of footballs players is standing behind a coaching official.	There is only one person present.
2	A person in a red shirt is mowing the grass with a green riding mower.	A person in red is swimming in the Olympics.
0	This is when daddy taught her how to ride her scooter.	daddy taught her
1	Two girls looking into camera and smiling	Two happy girls get their pictures taken.
1	A man is standing inside a building under construction filled with bricks and various tools.	a contractor looks at the job
0	A woman in an office making a phone call	A woman is making a phone call in an office environment.
1	A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.	A woman riding a bike in a race.
1	A woman cook in an apron is smiling at the camera with two other cooks in the background.	A woman is in a cooking competition
1	A young woman in a bikini looking at something in a glass case.	A lady shopping.
2	A man and a woman are lying together on a grassy park field near a waterfront.	Two people are playing with a frisbee at a park.
1	two dogs fighting over a pink and red toy	The dogs are in the backyard.
2	Boy wearing red hat, blue jacket pushing plow in snow.	The girl pushes as hard as she can
0	A group of girls in black and white spotted skirts cross a street.	A group of girls are outside.
2	Men wearing life vests speed across a body of water in an orange boat.	The men are fighting a fire.
2	A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose.	The man is driving a truck.
0	A person in sunglasses, a scarf, a shirt, and jeans is walking outside.	A person outside
0	A man, woman, and child get their picture taken in front of the mountains.	A family on vacation is posing.
1	A man is painting a city scene on a canvas in the street.	A man is painting New York City.
0	A man is playing drums with a band.	A man is playing an instrument.
0	An elderly Man wearing a olive green shirt and red and white striped apron is stacking cheese.	A man is wearing a apron
0	four people standing on a hiking trail in a forest with big tree logs on the ground close to them.	Some humans standing
2	a breakdancer man is performing for the kids at school	A woman is break dancing
2	A woman attends to her laundry in a laundromat.	Nobody is doing laundry at the laundromat.
2	An elderly lady holding a scruffy dog and smiling contently.	a woman holding a scruffy cat
0	A girl in a yellow dress looks at a restaurant building.	A girl in front of a building.
1	Here is a picture of people getting drunk at a house party.	Some people are by the side of a swimming pool partying.
2	A young girl holding a toddler.	Two old ladies are making out at a strip club.
0	A dog standing near snow looking at water.	Animal is outdoors.
1	It looks like the clown has fallen off the horse.	The sad clown fell off the horse at the State Fair rodeo.
0	Three women sit at a table, taking notes from three identical magazines.	Three women are reading and writing.
1	A woman playing with play equipment while a child looks on.	Mother demonstrates how to use equipment to her son.
2	A woman is in the middle of hitting a tennis ball.	A woman is sleeping.
2	A man in suit waiting for the green light.	A man ran a red light.
1	Cook handling hot tray with food on it.	man preparing meal for wife
2	Workers standing on a lift.	Workers walk off a lift
0	A boy and a woman are on top of large rocks at sunset.	The surface of the earth is visible.
0	Three men are sitting outside on chairs with red seats.	Men are sitting outside.
0	A older man working at a loom	An old man looming some threads.
2	A rally in a different country.	A carnival in a different country.
2	A brown dog persues a Frisbee across the grass as the thrower watches.	A dog goes to the vet.
2	Many people sit, some stand outside of a large brick building.	people are throwing rocks at each other
1	A nighttime street scene of a restaurant.	The restaurant is about to close.
1	A young boy looks on as a man performs the guitar on the street while sitting on a bench.	The man performing is famous.
1	A water scene with a sunset in the background.	There is a young couple at the water scene.
1	A standing man talks to a seated woman while on some sort of vehicle.	Two people are discussing their relationship.
2	A man walks three white dogs with spots down a street with palm trees.	the wolves are killing the man
0	A male runner in an orange and white t-shirt and black shorts is sprinting down the track.	A person running
0	Two people bicycle on a path separated by small mountains.	Two people are riding on bikes outside.
2	A boy rides his skateboard at the park.	A girl rides his skateboard at the park.
2	Guy in uniform standing on the side of a boat moving through the water.	A man in a uniform is underground.
0	A man flying out of a river raft filled with 6 other people.	The raft has people in it.
2	A young girl with a purple shirt and a pink hair band standing near the woods.	A little girl is inside on her computer.
1	A woman rollerblader with knee and elbow pads and a helmet jumping into the air.	the woman is a professional skater
2	A man with two small boys making a purchase from a woman.	The little boys are flying a kite with the man and the woman.
2	A little girl with pointy pigtails is sitting in the sand on the beach.	The girl runs through the grass outside her school.
0	A bearded man wears a roughly sewn hooded costume emblazoned with images of Spiderman.	A man wearing a costume
1	A female guitarist is playing on stage.	The woman is doing a solo piece at church.
0	A woman in a headscarf sitting in front of a loom.	a woman is sitting
0	A man in a black tank top wearing a red plaid hat	A man in a hat.
0	A swan landing in a lake.	A bird is on a lake.
0	Three men stand on a sidewalk wearing construction hats.	The men are outside
0	A group of uniformed officers in a street wearing a mixture of gas masks and face shields.	The officers are outside.
2	A Man is eating food next to a child on a bench.	Man eating child.
0	A small boy wearing a blue shirt plays in the kiddie pool.	Boy in a pool
0	Young people are standing around a drum at a party.	A drum has people standing around it.
0	An olympian leaps over an obstacle.	An athelete jumps.
0	An older white woman makes cupcakes in her kitchen.	An old woman is baking.
0	A girl crosscountry skis.	A girl has on skis.
1	A little dark-haired girl runs on the beach.	The dark haired girl is running away from a wave.
1	Three people posing for a camera	The three people are all female.
1	People walk outside "The Tempe Bar".	Bar goers walk around outside after last call.
2	Three people wearing black blindfolds near a "Salvar O Planeta" sign.	they can all see
0	A woman is painting a mural of a woman's face.	There is a woman painting.
1	A man, with a full face mask, sits on a sidewalk playing the guitar.	The man's mask is a clown face
1	A woman is taking a picture on the shoulders of another woman in cold weather.	A woman is taking a picture with an older woman.
1	A man playing cricket	an indian man plays cricket
2	A man and two kids standing in front of an ancient building.	A man is sitting on the floor.
0	A man is doing a task by a body of water on a farm.	The man is doing something by the water.
1	A juggler wearing a plaid kilt and a green shirt, juggling.	A person juggles balls in a kilt.
2	A man wearing a hat sitting on the side of a hill looking towards the water.	A man is wearing a dress while dancing in the park.
2	A young man sleeping next to a dog.	A boy is playing frisbee out in the grass.
0	A man is laying down inside a black, non-working boat.	The man is outside on a boat.
0	A group of people are walking down a busy street.	There are people walking.
0	Two beautiful, little girls with dark hair and dark complexions are sitting down eating cupcakes.	Two girls eating cupcakes.
2	a young girl looking down through some leaves from atop a tree.	There is a boy in a tree.
0	A woman is lying on her stomach on a white pillow and crying.	A woman is crying.
0	Person in yellow T-shirt is sleeping.	A person is napping.
0	A man with thinning hair looking into glasses through glasses.	A man with thinning hair.
2	The man in the black wetsuit is walking out of the water.	A man is laying on the beach.
1	Little girl blows bubbles in a public square.	A little girl is waiting for her parents.
1	A man running in a race passes by spectators.	The person is running a marathon.
0	A group of people watch a breakdancer in a red jacket do a one-handed trick.	A person is doing tricks in front of crowd.
0	a ballerina striking a pose in the studio.	The ballerina is indoors.
1	Two old women sitting on curb next to flowers	Two old women sat near the scenery that they enjoyed
2	Two formally dressed, bald older women	Two long-haired young women.
1	A man in a business suit screaming at the camera.	A business man is giving a heated interview for the local news.
2	A white and a black dog fighting in a fenced in room.	the black and white dogs are playing.
1	Elderly people walking down a city street.	The Elderly people are crossing the crosswalk.
2	A mountainous photo is complete with a blue sky.	The photo was taken on a cloudy night.
2	A racer on a motorcycle lifts one hand in the air.	A person waves at the camera.
0	A man in glasses in a basement.	The basement has a man in it.
1	Some kids are wrestling on an inflatable raft	Some kids playing with a raft in the lake.
0	A man in summer clothing skiing on thin snow.	There is a man on skis.
0	An Eastern vendor sits by his stall with a rooster nearby.	a rooster near a vendor
1	Two girls walking, both with a white shirt and blue shorts on.	Two girls are wearing school uniforms.
1	Artists install a new exhibit in a gallery.	People put up new art.
1	Men wearing painted clothes are standing in the rain.	It's raining heavily on a group of men.
1	a guy with long hair is making a sand sculpture	A guy is in a sand castle building competition.
0	A closeup of an older man with glasses speaking.	An older man is talking.
1	A man in a red plaid shirt using a bull horn to talk to a crowd of people.	a man is a comedian
0	The man is sweeping with a red broom.	The man is sweeping
1	Two lacrosse players are running on the sports-field.	One of the boys scored a goal for his sports team today.
1	A man in a blue helmet is riding his motorcycle.	The man speeds along the street.
0	A woman carrying a bucket of flowers.	A bucket of flowers is carried by a woman.
0	A person is hanging on to the bottom of an airplane preparing to skydive.	Someone is flying through the sky
2	Two mountaineers are walking across a snowcapped mountain.	Two mountaineers sitting at the beach.
2	A woman wearing sunglasses.	A woman is speaking latin.
2	a couple wearing bright outfits walking hand and hand on a sidewalk.	The couple is naked.
2	A man is riding a bike along a dirt trail.	The man is riding a horse.
0	A land rover is being driven across a river.	A Land Rover is splashing water as it crosses a river.
2	The man is digging in the sand while others watch to see what he discovers.	a woman hunts for treasure.
1	A biker wearing glass and a backpack rides near a fountain.	A biker is riding for a charity event through the center of town.
0	Men sitting at a table in a church.	There are people at a table.
1	A woman is posing in a meadow next to an old truck.	A woman is getting her maternity pictures taken.
1	An Asian man is praying at a Buddhist temple.	The man has been Buddhist his whole life.
2	A person dressed in a jacket and long pants walks down a snow-covered street in a small town.	The town is well-populated.
0	A person with a green backpack is riding a bike down the road.	There is a person with a green backpack.
1	A lady stands outside of a Mexican market.	A girl is enjoying food at a Mexican festival
1	Several bicyclers are carrying their bikes up a grassy hill.	People carrying their bikes at night.
1	A gas station and a car on fire.	A car sets a gas station on fire.
2	An SUV traveling through mud.	Biking done on the rocky hill
0	Two women are hugging on a path through a grassy area with a cow visible past them.	There are women outside in this picture
0	A man in a red sweatshirt pushes a giant redwood tree in a snowy forest.	A man pushes a redwood tree in the forest.
0	A woman is weaving with a comb in her hand.	A woman is doing something with her hands.
1	A boy works on a project in shop class.	The project is a large percentage over his overall grade in the class.
0	A man wearing a jacket is listening to headphones while walking down the sidewalk along a street.	A person walking outside.
2	A beautiful bride walking on a sidewalk with her new husband.	Newlyweds sitting on a park bench.
1	A black dog is running through a marsh-like area.	A dog is chasing a dragonfly through the marsh.
2	A man in a black hat opens his mouth.	A man in black hat keeps his lips sealed.
1	A young redheaded woman laughs at something.	A fat redheaded woman laughs at something.
2	Three men are playing frisbee in the woods.	Three guys are hiking across the desert.
0	The woman in the black shirt hands papers to the children surrounding her.	Someone giving out paper.
1	An elderly man is smiling while sitting in front of a row of soda cans.	An old man collects soda cans.
2	A woman runs on the beach.	The old lady spends a good time relaxing on the lounge.
2	A mother and daughter walk along the side of a bridge.	A mother and daughter are eating spaghetti in a kitchen.
2	Children are playing outside in a fountain.	Some children sit and read in a library.
0	Someone in green pants is on a white snowboard in the air.	The person is snowboarding.
1	A little boy with a shirt, shorts and socks on, standing on the beach.	A boy is watching the ocean.
2	Man playing a game with a young girl.	The man and young girl are talking to the moon.
2	A young boy swings a hula hoop while other children sit on the floor with their hoops.	The boy is sitting down
1	Three men drink at a reflective bar.	Three men are socializing during happy hour.
2	Group of men standing in a meeting room, talking.	A group of men are scuba diving.
2	A boy with no shirt is standing in water.	The boy is sitting on the couch.
1	Two guys playing soccer, one in red and the other in blue.	One of the men is a goalie.
1	This church choir sings to the masses as they sing joyous songs from the book at a church.	The church has cracks in the ceiling.
2	These girls are having a great time looking for seashells.	The girls are taking a nap.
1	Six women wait to use a port-o-john in a field.	Friends are waiting together.
0	A blond man playing a guitar.	A man is playing a guitar.
0	Am man riding a very tall bicycle down the street, past a large brick building.	A man rides a bike outside.
0	A man holding a yellow surfboard facing the ocean.	A man is holding a surfboard.
0	Four young girls playing in the water.	Four girls are in the water.
0	A man on a skateboard on steps in front glass doors of a brick building.	The brick building had glass doors in front
2	A boy plays basketball.	A boy is playing football.
2	A man holding girl at top of a slide	A man with a girl on a swing.
2	A bald person in green clothing stands in front of a brick wall.	A hairy person naps.
2	A young couple sitting in a black chair smiling.	Two young people are angry.
0	A man dressed all in black puts his hands on an art sculpture.	There is a sculture
0	Four individuals are sitting on a small dock by the water as a boat sails by.	Four people sitting by the water.
0	Three young girls in winter clothing and hats look at disposable cameras they are holding.	The young girls are together
2	A group of people are walking down a busy street.	A group of people are sitting in the library.
2	Several children are standing on the beach.	The kids are in the back yard.
1	Two black labs run, one carrying an orange dog toy.	Both dogs are female.
2	A man wearing a red uniform and helmet stands on his motorbike.	a man sitting in a car.
1	Black dog running very fast.	A dog is chasing a duck.
2	a group of construction workers busy refinishing a subway station.	A group of workers on their lunch break.
1	A woman wearing white and black carries a serving tray.	A woman is carrying a serving tray filled with tiny sandwiches.
0	3 young man in hoods standing in the middle of a quiet street facing the camera.	Three hood wearing people pose for a picture.
2	A child is surrounded by a field of sunflowers.	An old person in a field of poppies.
0	The girls walk down the street.	Girls walk down the street.
0	A girl in a red and white uniform is swinging a bat.	A girl in uniform is swinging.
0	A man wearing a black jacket stands next to a body of water.	A person is outside near some water.
2	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A man is eating pb and j
0	A young boy sits curiously on a rock near the water, looking at his reflection.	A kid is outside looking into the water.
0	A girl climbing a chain link fence.	A girl is on a fence.
0	A man in a plaid red shirt casts his fishing line out into the water.	A man is fishing.
0	Children bathe in water from large drums.	The kids are not reading.
0	Two small children walk away in a field.	Two small children walk outdoors.
0	a red-haired woman playing the violin	A woman is playing an instrument.
0	A moving truck with a ramp still attached.	A truck with a ramp attached.
1	two women in lingerie with green feathers around waist	A pair of strippers do a dance
2	Two bearded men sit side by side.	Three women are sitting on a blanket.
1	A child in a maroon shirt playing next to a fountain.	The child is getting wet from the fountain.
1	One man in baseball cap looks out while two men look down.	Men are lamenting the fact that their team lost.
2	The man walks among the large trees.	The mas is walking next to dogs.
0	Man and a child at an exhibit booth looking at something.	A man and a child look at something.
0	People are standing next to a chain link fence.	The people are outside.
1	Two men are wearing caps are looking at the ground with surprised expressions on their faces.	Two men are mud wrestling.
0	A skier is heading into a grove of trees.	There is snow on the ground in this picture.
0	A woman in a green flowered dress is holding a container of yarn animals.	A lady in a dress has a container of yarn toys.
0	A man is hanging sausages in a market.	A person is hanging sausages in a market.
2	A group of people in an alley looking at the camera.	People are on their computer
0	A man, woman, and child get their picture taken in front of the mountains.	People are outdoors.
2	The indian's are performing a sacred dance.	The Indians are building sand castles.
2	A toddler is intrigued by a toy lego set in a bookstore.	A child is chasing a rabbit in the yard.
0	A man trying his hardest to climb up a rope.	A man is climbing a rope.
2	Three children are shooting guns in the woods.	Three children are making a cup of tea together.
2	Some men and boys are playing with a Frisbee in a grassy area.	A group of people play football.
2	A man sits writing at a table set up on a sidewalk.	A woman stands on a street corner.
2	A girl with black pants on is lowering a camera onto the running track.	The camera is being thrown by the girl
0	A patient is being worked on by doctors and nurses.	Someone is at the doctor.
1	A black and white dog jumps for a tennis ball.	A border collie is jumping to catching a toy.
1	A young couple holding hands in the park.	A man and woman are on a date.
1	The players manuever for the soccer ball.	Soccer players play outside.
0	A group of people and a dog sitting on the steps.	A group of people are sitting with a dog.
2	At least eight people are sitting at a table in a building that overlooks the city.	People sitting on the floor
2	The pitcher is pitching the ball in a game of baseball.	The boy plays basketball.
2	A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.	The young boy went swimming.
2	Nurses in a medical setting conversing over a plastic cup.	The nurses are eating lunch.
2	A group of people watching a boy getting interviewed by a man.	A group of people are sleeping on Pluto.
